Company,Country,Continent
AC,United Kingdom,Europe
ACURA,Japan,Asia
ALFA ROMEO,Italy,Europe
ALPINE,France,Europe
ARIEL,United Kingdom,Europe
ARO,Romania,Europe
ARTEGA,Germany,Europe
ASTON MARTIN,United Kingdom,Europe
AUDI,Germany,Europe
AURUS,Russia,Europe
BENTLEY,United Kingdom,Europe
BMW,Germany,Europe
BRISTOL,United Kingdom,Europe
BUFORI,Malaysia,Asia
BUGATTI,France,Europe
BUICK,United States,North America
CADILLAC,United States,North America
CATERHAM,United Kingdom,Europe
CHEVROLET,United States,North America
CHRYSLER,United States,North America
CITROEN,France,Europe
CUPRA,Spain,Europe
DACIA,Romania,Europe
DAEWOO,South Korea,Asia
DAIHATSU,Japan,Asia
DATSUN,Japan,Asia
DeLorean,United States,North America
DODGE,United States,North America
DONKERVOORT,Netherlands,Europe
DR MOTOR,Italy,Europe
DS AUTOMOBILES,France,Europe
EAGLE,United States,North America
FERRARI,Italy,Europe
FIAT,Italy,Europe
FISKER,United States,North America
FORD,United States,North America
FSO,Poland,Europe
GEELY,China,Asia
GENESIS,South Korea,Asia
GMC,United States,North America
GORDON MURRAY Automotive,United Kingdom,Europe
GTA Motor,Spain,Europe
HINDUSTAN,India,Asia
HOLDEN,Australia,Oceania
HONDA,Japan,Asia
HUMMER,United States,North America
HYUNDAI,South Korea,Asia
INEOS,United Kingdom,Europe
INFINITI,Japan,Asia
ISUZU,Japan,Asia
JAGUAR,United Kingdom,Europe
JEEP,United States,North America
Karma,United States,North America
KIA,South Korea,Asia
KOENIGSEGG,Sweden,Europe
KTM,Austria,Europe
LADA,Russia,Europe
LAMBORGHINI,Italy,Europe
LANCIA,Italy,Europe
LAND ROVER,United Kingdom,Europe
LEXUS,Japan,Asia
LIGHTYEAR,Netherlands,Europe
LINCOLN,United States,North America
LOTUS,United Kingdom,Europe
Lucid Motors,United States,North America
Mahindra,India,Asia
MARUSSIA,Russia,Europe
MARUTI SUZUKI,India,Asia
MASERATI,Italy,Europe
MAYBACH,Germany,Europe
MAZDA,Japan,Asia
MCLAREN,United Kingdom,Europe
MERCEDES BENZ,Germany,Europe
Mercedes-AMG,Germany,Europe
MERCURY,United States,North America
MG,United Kingdom,Europe
MINI,United Kingdom,Europe
MITSUBISHI,Japan,Asia
MORGAN,United Kingdom,Europe
NIO,China,Asia
NISSAN,Japan,Asia
OLDSMOBILE,United States,North America
OPEL,Germany,Europe
PAGANI,Italy,Europe
PANOZ,United States,North America
PERODUA,Malaysia,Asia
PEUGEOT,France,Europe
Pininfarina,Italy,Europe
PLYMOUTH,United States,North America
Polestar,Sweden,Europe
PONTIAC,United States,North America
PORSCHE,Germany,Europe
PROTON,Malaysia,Asia
QOROS,China,Asia
RAM Trucks,United States,North America
RENAULT,France,Europe
RIMAC,Croatia,Europe
RIVIAN,United States,North America
ROLLS-ROYCE,United Kingdom,Europe
SAAB,Sweden,Europe
SALEEN,United States,North America
SAMSUNG,South Korea,Asia
SANTANA,Spain,Europe
SATURN,United States,North America
SCION,United States,North America
SEAT,Spain,Europe
SKODA,Czech Republic,Europe
SMART,Germany,Europe
SPYKER,Netherlands,Europe
SSANGYONG,South Korea,Asia
SUBARU,Japan,Asia
SUZUKI,Japan,Asia
TATA MOTORS,India,Asia
TESLA,United States,North America
TOYOTA,Japan,Asia
TVR,United Kingdom,Europe
VAUXHALL,United Kingdom,Europe
VinFast,Vietnam,Asia
VOLKSWAGEN,Germany,Europe
VOLVO,Sweden,Europe
WIESMANN,Germany,Europe
Xpeng,China,Asia
ZENDER,Germany,Europe
Zenvo,Denmark,Europe
