Company,Mean Top Speed km/h,Year
FIAT,32.0,1899
BUGATTI,60.0,1900
FIAT,32.0,1900
BUGATTI,60.0,1901
FIAT,69.0,1901
OLDSMOBILE,32.0,1901
FIAT,69.0,1902
OLDSMOBILE,32.0,1902
BUGATTI,,1903
CADILLAC,,1903
FIAT,75.0,1903
FORD,48.0,1903
OLDSMOBILE,32.0,1903
CADILLAC,,1904
FIAT,75.0,1904
FORD,48.0,1904
OLDSMOBILE,32.0,1904
BUICK,,1905
FIAT,71.33333333333333,1905
FORD,48.0,1905
OLDSMOBILE,32.0,1905
FIAT,71.33333333333333,1906
OLDSMOBILE,32.0,1906
FIAT,64.0,1907
LANCIA,80.0,1907
OLDSMOBILE,32.0,1907
BUGATTI,,1908
FIAT,62.0,1908
FORD,68.0,1908
LANCIA,80.0,1908
BUGATTI,,1909
FIAT,60.0,1909
FORD,68.0,1909
LANCIA,80.0,1909
ALFA ROMEO,115.0,1910
FIAT,60.0,1910
FORD,68.0,1910
LANCIA,,1910
ALFA ROMEO,115.0,1911
BUGATTI,,1911
BUICK,56.0,1911
FIAT,60.0,1911
FORD,68.0,1911
ALFA ROMEO,115.0,1912
BUGATTI,169.0,1912
FIAT,61.5,1912
FORD,68.0,1912
ALFA ROMEO,115.0,1913
BUGATTI,169.0,1913
FIAT,63.0,1913
FORD,68.0,1913
LANCIA,,1913
BUGATTI,169.0,1914
FIAT,63.0,1914
FORD,68.0,1914
LANCIA,,1914
FIAT,63.0,1915
FORD,68.0,1915
LANCIA,,1915
FORD,68.0,1916
LANCIA,,1916
FORD,68.0,1917
LANCIA,,1917
FORD,68.0,1918
LANCIA,,1918
FIAT,81.0,1919
FORD,68.0,1919
LANCIA,,1919
MAYBACH,,1919
FIAT,81.0,1920
FORD,68.0,1920
ALFA ROMEO,130.0,1921
FIAT,91.0,1921
FORD,68.0,1921
MAYBACH,109.0,1921
ALFA ROMEO,120.0,1922
BUGATTI,121.0,1922
FIAT,103.0,1922
FORD,68.0,1922
LANCIA,121.0,1922
MAYBACH,109.0,1922
ALFA ROMEO,105.0,1923
BUGATTI,121.0,1923
FIAT,95.0,1923
FORD,68.0,1923
LANCIA,121.0,1923
MAYBACH,109.0,1923
ALFA ROMEO,105.0,1924
BUGATTI,121.0,1924
CHRYSLER,113.0,1924
FIAT,95.0,1924
FORD,68.0,1924
LANCIA,121.0,1924
MAYBACH,109.0,1924
ALFA ROMEO,113.33333333333333,1925
BUGATTI,121.0,1925
CHRYSLER,113.0,1925
FIAT,78.8,1925
FORD,68.0,1925
LANCIA,121.0,1925
MAYBACH,109.0,1925
ROLLS-ROYCE,145.0,1925
ALFA ROMEO,120.0,1926
BUGATTI,121.0,1926
CHRYSLER,113.0,1926
FIAT,78.2,1926
FORD,68.0,1926
LANCIA,121.0,1926
MAYBACH,111.5,1926
MERCEDES BENZ,86.2,1926
ROLLS-ROYCE,145.0,1926
ALFA ROMEO,116.66666666666667,1927
AUDI,,1927
BUGATTI,126.33333333333333,1927
CHRYSLER,113.0,1927
FIAT,77.5,1927
FORD,68.0,1927
LANCIA,121.0,1927
MAYBACH,111.5,1927
MERCEDES BENZ,100.33333333333333,1927
ROLLS-ROYCE,145.0,1927
ALFA ROMEO,110.0,1928
AUDI,,1928
BUGATTI,129.0,1928
CHRYSLER,113.0,1928
FIAT,87.5,1928
LANCIA,121.0,1928
MAYBACH,123.25,1928
MERCEDES BENZ,121.33333333333333,1928
ROLLS-ROYCE,145.0,1928
ALFA ROMEO,140.0,1929
AUDI,,1929
BMW,76.0,1929
BUGATTI,151.0,1929
CHRYSLER,113.0,1929
FIAT,81.5,1929
LANCIA,121.0,1929
MAYBACH,138.66666666666666,1929
MERCEDES BENZ,117.42307692307692,1929
ROLLS-ROYCE,147.0,1929
SKODA,64.0,1929
ALFA ROMEO,170.0,1930
AUDI,,1930
BMW,76.0,1930
BUGATTI,155.5,1930
CHRYSLER,113.0,1930
FIAT,66.0,1930
LANCIA,121.0,1930
MAYBACH,148.66666666666666,1930
MERCEDES BENZ,122.68,1930
ROLLS-ROYCE,146.75,1930
SKODA,64.0,1930
ALFA ROMEO,177.5,1931
AUDI,,1931
BMW,76.0,1931
BUGATTI,167.2,1931
CHRYSLER,133.5,1931
FIAT,66.0,1931
LANCIA,121.0,1931
MAYBACH,144.625,1931
MERCEDES BENZ,131.77777777777777,1931
ROLLS-ROYCE,146.75,1931
SKODA,64.0,1931
ALFA ROMEO,177.5,1932
AUDI,,1932
BMW,78.0,1932
BUGATTI,169.33333333333334,1932
CHRYSLER,154.0,1932
FIAT,66.0,1932
FORD,,1932
LANCIA,,1932
MAYBACH,146.2,1932
MERCEDES BENZ,132.97560975609755,1932
ROLLS-ROYCE,147.33333333333334,1932
SKODA,64.0,1932
ALFA ROMEO,185.0,1933
BMW,85.0,1933
BUGATTI,171.0,1933
CHRYSLER,154.0,1933
FIAT,,1933
FORD,,1933
LANCIA,129.0,1933
MAYBACH,146.2,1933
MERCEDES BENZ,124.33333333333333,1933
ROLLS-ROYCE,147.33333333333334,1933
