Company,Horse Power
AC,291.2
ACURA,220.36283185840708
ALFA ROMEO,150.85078534031413
ALPINE,159.73684210526315
ARIEL,305.0
ARO,93.53846153846153
ARTEGA,300.0
ASTON MARTIN,467.51
AUDI,300.8019547325103
AURUS,598.0
BENTLEY,519.8313253012049
BMW,231.44865579550464
BRISTOL,307.1923076923077
BUFORI,161.8
BUGATTI,799.5555555555555
BUICK,187.0686274509804
CADILLAC,299.6896551724138
CATERHAM,171.07692307692307
CHEVROLET,228.4002642007926
CHRYSLER,209.9746835443038
CITROEN,111.38279301745636
CUPRA,190.71428571428572
DACIA,86.97237569060773
DAEWOO,118.27835051546391
DAIHATSU,89.52542372881356
DATSUN,84.4
DODGE,243.73282442748092
DONKERVOORT,194.16666666666666
DR MOTOR,108.85714285714286
DS AUTOMOBILES,142.6338028169014
DeLorean,136.33333333333334
EAGLE,136.14285714285714
FERRARI,396.77702702702703
FIAT,97.10652463382156
FISKER,6.0
FORD,157.41379310344828
FSO,79.92307692307692
GEELY,97.11111111111111
GENESIS,296.4375
GMC,304.0618556701031
GORDON MURRAY Automotive,625.0
GTA Motor,820.0
HINDUSTAN,54.77777777777778
HOLDEN,184.1114982578397
HONDA,148.70149253731344
HUMMER,246.25
HYUNDAI,143.255230125523
INEOS,267.5
INFINITI,286.2738095238095
ISUZU,173.67164179104478
JAGUAR,313.020325203252
JEEP,197.00434782608696
KIA,149.96474953617812
KOENIGSEGG,1048.8333333333333
KTM,275.0
Karma,469.5
LADA,76.5
LAMBORGHINI,551.5813953488372
LANCIA,117.20179372197309
LAND ROVER,255.3815789473684
LEXUS,269.572192513369
LIGHTYEAR,
LINCOLN,262.8861788617886
LOTUS,272.14666666666665
Lucid Motors,
MARUSSIA,378.6666666666667
MARUTI SUZUKI,74.83333333333333
MASERATI,386.0975609756098
MAYBACH,200.57692307692307
MAZDA,146.1625
MCLAREN,647.2142857142857
MERCEDES BENZ,213.56127344090712
MERCURY,161.5151515151515
MG,150.75641025641025
MINI,151.2167300380228
MITSUBISHI,141.71802325581396
MORGAN,259.8636363636364
Mahindra,68.7
Mercedes-AMG,462.7795275590551
NIO,
NISSAN,160.86858006042297
OLDSMOBILE,182.25
OPEL,126.48422712933754
PAGANI,627.7272727272727
PANOZ,397.5
PERODUA,78.70833333333333
PEUGEOT,121.20041972717733
PLYMOUTH,117.1875
PONTIAC,165.75968992248062
PORSCHE,367.7493917274939
PROTON,114.76190476190476
Pininfarina,
Polestar,600.0
QOROS,110.6
RAM Trucks,261.23622047244095
RENAULT,118.91399662731872
RIMAC,
RIVIAN,627.3333333333334
ROLLS-ROYCE,388.4848484848485
SAAB,181.69337979094075
SALEEN,650.0
SAMSUNG,155.14285714285714
SANTANA,111.0
SATURN,185.4
SCION,141.10526315789474
SEAT,119.87751677852349
SKODA,130.24448217317487
SMART,68.03947368421052
SPYKER,364.75
SSANGYONG,154.3012048192771
SUBARU,171.74609375
SUZUKI,114.63934426229508
TATA MOTORS,86.575
TESLA,358.25
TOYOTA,149.3560371517028
TVR,348.0882352941176
VAUXHALL,145.1484375
VOLKSWAGEN,136.41042944785275
VOLVO,177.76875768757688
VinFast,
WIESMANN,446.0833333333333
Xpeng,
ZENDER,314.6
Zenvo,945.0
