Company,Top Speed km/h
AC,235.0
ACURA,220.54
ALFA ROMEO,203.71618037135278
ALPINE,208.89473684210526
ARIEL,247.33333333333334
ARO,122.14285714285714
ARTEGA,270.0
ASTON MARTIN,290.84
AUDI,225.27451997924234
AURUS,204.0
BENTLEY,288.3095238095238
BMW,229.09823008849557
BRISTOL,233.6153846153846
BUFORI,196.6
BUGATTI,274.92857142857144
BUICK,198.14893617021278
CADILLAC,230.3009708737864
CATERHAM,208.76923076923077
CHEVROLET,205.77914110429447
CHRYSLER,203.3
CITROEN,183.26860025220682
CUPRA,216.05555555555554
DACIA,161.31360946745562
DAEWOO,178.875
DAIHATSU,156.65384615384616
DATSUN,172.28571428571428
DODGE,219.1
DONKERVOORT,219.0
DR MOTOR,171.28571428571428
DS AUTOMOBILES,200.61904761904762
DeLorean,209.0
EAGLE,195.0
FERRARI,283.0408163265306
FIAT,170.1382113821138
FISKER,200.0
FORD,190.42188739095957
FSO,153.28571428571428
GEELY,166.85714285714286
GENESIS,238.1
GMC,172.15384615384616
GORDON MURRAY Automotive,
GTA Motor,349.0
HINDUSTAN,140.0
HOLDEN,210.96571428571428
HONDA,195.4150110375276
HUMMER,132.4
HYUNDAI,187.55632582322357
INEOS,159.0
INFINITI,229.33333333333334
ISUZU,173.96153846153845
JAGUAR,245.41702127659573
JEEP,185.3409090909091
KIA,188.03807106598984
KOENIGSEGG,419.3636363636364
KTM,228.0
Karma,205.0
LADA,159.475
LAMBORGHINI,310.3333333333333
LANCIA,187.03846153846155
LAND ROVER,197.9078947368421
LEXUS,216.9751552795031
LIGHTYEAR,
LINCOLN,197.69642857142858
LOTUS,243.8108108108108
Lucid Motors,270.0
MARUSSIA,249.0
MARUTI SUZUKI,155.71428571428572
MASERATI,272.82716049382714
MAYBACH,160.0
MAZDA,194.58356164383562
MCLAREN,331.9259259259259
MERCEDES BENZ,214.96769851951547
MERCURY,185.5
MG,202.17105263157896
MINI,206.0648854961832
MITSUBISHI,187.2316176470588
MORGAN,230.3
Mahindra,
Mercedes-AMG,263.0813008130081
NIO,
NISSAN,185.52918287937743
OLDSMOBILE,181.30769230769232
OPEL,193.44416456759026
PAGANI,352.85714285714283
PANOZ,243.0
PERODUA,
PEUGEOT,190.56474428726878
PLYMOUTH,178.29166666666666
PONTIAC,193.45762711864407
PORSCHE,278.17241379310343
PROTON,179.03125
Pininfarina,299.0
Polestar,204.0
QOROS,203.66666666666666
RAM Trucks,190.0
RENAULT,187.4659593280283
RIMAC,
RIVIAN,
ROLLS-ROYCE,216.1578947368421
SAAB,218.93728222996515
SALEEN,359.5
SAMSUNG,191.5
SANTANA,148.4
SATURN,210.0
SCION,192.0
SEAT,191.40250447227191
SKODA,198.96357012750457
SMART,150.0958904109589
SPYKER,315.1666666666667
SSANGYONG,174.6578947368421
SUBARU,195.27272727272728
SUZUKI,170.43654822335026
TATA MOTORS,153.35
TESLA,232.54545454545453
TOYOTA,185.11160058737153
TVR,284.1714285714286
VAUXHALL,199.33972602739726
VOLKSWAGEN,195.08161953727506
VOLVO,209.96039603960395
VinFast,
WIESMANN,297.75
Xpeng,
ZENDER,261.0
Zenvo,378.2
