Company,Serie
AC,5
ACURA,20
ALFA ROMEO,52
ALPINE,4
ARIEL,2
ARO,4
ARTEGA,2
ASTON MARTIN,44
AUDI,95
AURUS,1
BENTLEY,17
BMW,98
BRISTOL,15
BUFORI,5
BUGATTI,28
BUICK,31
CADILLAC,38
CATERHAM,8
CHEVROLET,68
CHRYSLER,28
CITROEN,63
CUPRA,6
DACIA,26
DAEWOO,24
DAIHATSU,17
DATSUN,4
DODGE,26
DONKERVOORT,1
DR MOTOR,4
DS AUTOMOBILES,8
DeLorean,1
EAGLE,4
FERRARI,61
FIAT,127
FISKER,2
FORD,109
FSO,6
GEELY,4
GENESIS,7
GMC,18
GORDON MURRAY Automotive,2
GTA Motor,1
HINDUSTAN,3
HOLDEN,40
HONDA,62
HUMMER,8
HYUNDAI,64
INEOS,1
INFINITI,27
ISUZU,11
JAGUAR,24
JEEP,13
KIA,39
KOENIGSEGG,9
KTM,1
Karma,2
LADA,12
LAMBORGHINI,30
LANCIA,43
LAND ROVER,17
LEXUS,21
LIGHTYEAR,1
LINCOLN,16
LOTUS,13
Lucid Motors,1
MARUSSIA,2
MARUTI SUZUKI,9
MASERATI,16
MAYBACH,8
MAZDA,42
MCLAREN,25
MERCEDES BENZ,105
MERCURY,10
MG,16
MINI,9
MITSUBISHI,33
MORGAN,11
Mahindra,4
Mercedes-AMG,32
NIO,5
NISSAN,69
OLDSMOBILE,11
OPEL,58
PAGANI,10
PANOZ,5
PERODUA,5
PEUGEOT,67
PLYMOUTH,8
PONTIAC,21
PORSCHE,104
PROTON,14
Pininfarina,2
Polestar,4
QOROS,2
RAM Trucks,3
RENAULT,66
RIMAC,1
RIVIAN,2
ROLLS-ROYCE,16
SAAB,14
SALEEN,2
SAMSUNG,3
SANTANA,4
SATURN,8
SCION,8
SEAT,31
SKODA,32
SMART,13
SPYKER,5
SSANGYONG,10
SUBARU,26
SUZUKI,31
TATA MOTORS,11
TESLA,6
TOYOTA,89
TVR,11
VAUXHALL,36
VOLKSWAGEN,81
VOLVO,52
VinFast,2
WIESMANN,7
Xpeng,5
ZENDER,6
Zenvo,4
