,Company,Production years,Serie
0,AC,"1963, 1964, 1965",1
1,AC,"1965, 1966, 1967",1
2,AC,"1966, 1967, 1968, 1969, 1970, 1971",1
3,AC,"1966, 1967, 1968, 1969, 1970, 1971, 1972, 1973",1
4,AC,"1993, 1994, 1995, 1996",1
5,AC,"1998, 1999, 2000",1
6,ACURA,"1986, 1987, 1988, 1989",2
7,ACURA,"1986, 1987, 1988, 1989, 1990, 1991",1
8,ACURA,"1987, 1988, 1989, 1990",1
9,ACURA,"1989, 1990, 1991, 1992, 1993",1
10,ACURA,"1989, 1990, 1991, 1992, 1993, 1994",1
11,ACURA,"1990, 1991, 1992, 1993, 1994, 1995",1
12,ACURA,"1990, 1991, 1992, 1993, 1994, 1995, 1996",1
13,ACURA,"1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001",1
14,ACURA,"1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001",2
15,ACURA,"1995, 1996, 1997, 1998",1
16,ACURA,"1996, 1997",1
17,ACURA,"1997, 1998, 1999",1
18,ACURA,"1997, 1998, 1999, 2000",1
19,ACURA,"1997, 1998, 1999, 2000, 2001",1
20,ACURA,"1999, 2000, 2001, 2002, 2003",1
21,ACURA,"2001, 2002, 2003, 2004",2
22,ACURA,"2001, 2002, 2003, 2004, 2005",1
23,ACURA,"2002, 2003, 2004, 2005",1
24,ACURA,"2003, 2004, 2005, 2006, 2007, 2008",2
25,ACURA,"2004, 2005, 2006",1
26,ACURA,"2004, 2005, 2006, 2007, 2008",1
27,ACURA,"2005, 2006",2
28,ACURA,"2005, 2006, 2007, 2008, 2009",1
29,ACURA,"2006, 2007, 2008, 2009",1
30,ACURA,"2006, 2007, 2008, 2009, 2010, 2011",1
31,ACURA,"2008, 2009, 2010, 2011, 2012",1
32,ACURA,"2008, 2009, 2010, 2011, 2012, 2013, 2014",2
33,ACURA,"2009, 2010, 2011",1
34,ACURA,"2009, 2010, 2011, 2012, 2013",1
35,ACURA,"2010, 2011, 2012, 2013",1
36,ACURA,"2010, 2011, 2012, 2013, 2014",1
37,ACURA,"2012, 2013, 2014",1
38,ACURA,"2012, 2013, 2014, 2015",1
39,ACURA,"2013, 2014, 2015, 2016",1
40,ACURA,"2013, 2014, 2015, 2016, 2017",1
41,ACURA,"2014, 2015, 2016",1
42,ACURA,"2015, 2016, 2017, 2018",1
43,ACURA,"2015, 2016, 2017, 2018, 2019, 2020",1
44,ACURA,"2016, 2017, 2018",1
45,ACURA,"2016, 2017, 2018, 2019, 2020, 2021",1
46,ACURA,"2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023",1
47,ACURA,"2017, 2018, 2019, 2020, 2021, 2022, 2023",1
48,ACURA,"2018, 2019, 2020, 2021",1
49,ACURA,"2018, 2019, 2020, 2021, 2022, 2023",2
50,ACURA,"2020, 2021, 2022, 2023",1
51,ACURA,"2021, 2022, 2023",2
52,ACURA,"2022, 2023",1
53,ACURA,2023,2
54,ALFA ROMEO,"1910, 1911, 1912, 1913",1
55,ALFA ROMEO,"1921, 1922",1
56,ALFA ROMEO,"1922, 1923, 1924, 1925, 1926, 1927",1
57,ALFA ROMEO,"1923, 1924, 1925",1
